word|translation|category|exportedAt|status|knownAt|s1|s2|s3
however|однако||2026-04-02|learning|The plan is good. **However**, it's expensive.|I wanted to go. **However**, I was too tired.|She studied hard. **However**, she didn't pass.|
moreover|более того||2026-04-02|learning|He's smart. **Moreover**, he's very hardworking.|The food was cold. **Moreover**, the service was terrible.|**Moreover**, we need more time to finish.|
furthermore|кроме того||2026-04-02|learning|She's qualified. **Furthermore**, she has ten years of experience.|**Furthermore**, the costs are too high.|The report is late. **Furthermore**, it's incomplete.|
nevertheless|тем не менее||2026-04-02|learning|It rained all day. **Nevertheless**, we enjoyed the trip.|She was tired. **Nevertheless**, she kept going.|The task is hard. **Nevertheless**, we'll try.|
nonetheless|тем не менее||2026-04-02|learning|He was injured. **Nonetheless**, he finished the race.|The risk is high. **Nonetheless**, I'll do it.|**Nonetheless**, the team performed well.|
therefore|поэтому; следовательно||2026-04-02|learning|He was late. **Therefore**, he missed the bus.|The evidence is clear. **Therefore**, he's guilty.|**Therefore**, we need a new plan.|
consequently|вследствие этого||2026-04-02|learning|She didn't study. **Consequently**, she failed.|The road was closed. **Consequently**, traffic was terrible.|He ignored the advice. **Consequently**, he lost money.|
as a result|в результате||2026-04-02|learning|She practised daily. **As a result**, she improved fast.|**As a result**, the project was delayed.|The storm hit. **As a result**, thousands lost power.|
thus|таким образом||2026-04-02|learning|He lied. **Thus**, nobody trusts him now.|**Thus**, we can conclude that the experiment worked.|She saved enough. **Thus**, she could buy the car.|
hence|следовательно||2026-04-02|learning|He's ill. **Hence** his absence.|The data is unreliable. **Hence**, we need new tests.|She left early. **Hence**, she missed the announcement.|
in addition|в дополнение||2026-04-02|learning|We need more staff. **In addition**, we need new equipment.|**In addition**, she speaks three languages.|The hotel has a pool. **In addition**, there's a spa.|
besides|кроме того; к тому же||2026-04-02|learning|I'm not hungry. **Besides**, it's too late to eat.|**Besides**, I don't have enough money.|She's busy. **Besides**, she doesn't like parties.|
what's more|более того||2026-04-02|learning|It's cheap. **What's more**, it's really good quality.|He lied to me. **What's more**, he lied to my family.|**What's more**, she did it all by herself.|
on top of that|вдобавок||2026-04-02|learning|He was late. **On top of that**, he forgot the files.|She's stressed. **On top of that**, she's not sleeping well.|**On top of that**, they raised the price.|
on the other hand|с другой стороны||2026-04-02|learning|It's a big flat. **On the other hand**, the rent is high.|**On the other hand**, she might say yes.|I like the city. **On the other hand**, it's very noisy.|
in contrast|в отличие от||2026-04-02|learning|He's outgoing. **In contrast**, his brother is shy.|Summer is hot. **In contrast**, winter is freezing.|**In contrast** to last year, profits are up.|
whereas|тогда как||2026-04-02|learning|She loves cooking, **whereas** he prefers eating out.|I work mornings, **whereas** she works nights.|English uses articles, **whereas** Russian doesn't.|
while|хотя; тогда как||2026-04-02|learning|**While** I understand your point, I disagree.|**While** the idea is good, the timing is bad.|She's patient, **while** her sister is not.|
still|тем не менее; всё же||2026-04-02|learning|The film was long. **Still**, it was entertaining.|It's risky. **Still**, it's worth trying.|I don't agree. **Still**, I respect your opinion.|
yet|однако; тем не менее||2026-04-02|learning|The design is simple **yet** elegant.|It's small **yet** powerful.|She's young **yet** very mature.|
even so|тем не менее; и всё же||2026-04-02|learning|The odds were low. **Even so**, they won.|It's expensive. **Even so**, I'll buy it.|He apologised. **Even so**, she's still upset.|
otherwise|иначе; в противном случае||2026-04-02|learning|Hurry up, **otherwise** we'll be late.|Wear a coat. **Otherwise**, you'll freeze.|Study hard. **Otherwise**, you won't pass.|
in that case|в таком случае||2026-04-02|learning|You're busy? **In that case**, I'll come back later.|**In that case**, let's cancel the meeting.|She can't come? **In that case**, we'll go without her.|
provided that|при условии что||2026-04-02|learning|You can go, **provided that** you're back by ten.|**Provided that** it doesn't rain, we'll have a picnic.|I'll help, **provided that** you help me too.|
as long as|при условии что; пока||2026-04-02|learning|You can stay **as long as** you're quiet.|**As long as** you work hard, you'll succeed.|I don't mind **as long as** you tell me first.|
unless|если не; разве что||2026-04-02|learning|I won't go **unless** you come with me.|**Unless** it rains, we'll go to the park.|She won't stop **unless** you tell her.|
for example|например||2026-04-02|learning|Many countries, **for example** Japan, have low crime.|I like sport, **for example** swimming and tennis.|**For example**, you could try studying abroad.|
for instance|например||2026-04-02|learning|Some animals, **for instance** dolphins, are very smart.|She's talented — **for instance**, she plays three instruments.|**For instance**, you could start with the basics.|
such as|такие как||2026-04-02|learning|I enjoy outdoor activities, **such as** hiking and cycling.|Big cities **such as** London and Tokyo are expensive.|Foods **such as** fish and nuts are healthy.|
namely|а именно||2026-04-02|learning|Two students failed, **namely** Tom and Sarah.|One country, **namely** Norway, voted against.|She has one fear, **namely** spiders.|
